year,month,latitude,upwelling_index,model
1981.0,6.0,46.0,0.237,gfdl
1981.0,6.0,47.0,0.292,gfdl
1981.0,7.0,31.0,0.313,gfdl
1981.0,7.0,32.0,0.233,gfdl
1981.0,7.0,33.0,0.253,gfdl
1981.0,7.0,34.0,0.396,gfdl
1981.0,7.0,35.0,0.953,gfdl
1981.0,7.0,36.0,0.661,gfdl
1981.0,7.0,37.0,0.535,gfdl
1981.0,7.0,38.0,0.778,gfdl
1981.0,7.0,39.0,1.283,gfdl
1981.0,7.0,40.0,1.227,gfdl
1981.0,7.0,41.0,1.218,gfdl
1981.0,7.0,42.0,1.26,gfdl
1981.0,7.0,43.0,0.917,gfdl
1981.0,7.0,44.0,0.628,gfdl
1981.0,7.0,45.0,0.601,gfdl
1981.0,7.0,46.0,0.478,gfdl
1981.0,7.0,47.0,0.415,gfdl
1981.0,8.0,31.0,0.324,gfdl
1981.0,8.0,32.0,0.459,gfdl
1981.0,8.0,33.0,0.319,gfdl
1981.0,8.0,34.0,0.508,gfdl
1981.0,8.0,35.0,1.198,gfdl
1981.0,8.0,36.0,0.801,gfdl
1981.0,8.0,37.0,0.71,gfdl
1981.0,8.0,38.0,0.993,gfdl
1981.0,8.0,39.0,1.323,gfdl
1981.0,8.0,40.0,1.148,gfdl
1981.0,8.0,41.0,0.82,gfdl
1981.0,8.0,42.0,0.703,gfdl
1981.0,8.0,43.0,0.484,gfdl
1981.0,8.0,44.0,0.367,gfdl
1981.0,8.0,45.0,0.355,gfdl
1981.0,8.0,46.0,0.295,gfdl
1981.0,8.0,47.0,0.271,gfdl
1981.0,9.0,31.0,0.409,gfdl
1981.0,9.0,32.0,0.497,gfdl
1981.0,9.0,33.0,0.391,gfdl
1981.0,9.0,34.0,0.421,gfdl
1981.0,9.0,35.0,0.842,gfdl
1981.0,9.0,36.0,0.586,gfdl
1981.0,9.0,37.0,0.547,gfdl
1981.0,9.0,38.0,0.83,gfdl
1981.0,9.0,39.0,1.179,gfdl
1981.0,9.0,40.0,1.127,gfdl
1981.0,9.0,41.0,1.1,gfdl
1981.0,9.0,42.0,1.041,gfdl
1981.0,9.0,43.0,0.946,gfdl
1981.0,9.0,44.0,0.78,gfdl
1981.0,9.0,45.0,0.645,gfdl
1981.0,9.0,46.0,0.575,gfdl
1981.0,9.0,47.0,0.493,gfdl
1981.0,10.0,31.0,0.341,gfdl
1981.0,10.0,32.0,0.469,gfdl
1981.0,10.0,33.0,0.369,gfdl
1981.0,10.0,34.0,0.366,gfdl
1981.0,10.0,35.0,0.722,gfdl
1981.0,10.0,36.0,0.571,gfdl
1981.0,10.0,37.0,0.492,gfdl
1981.0,10.0,38.0,0.575,gfdl
1981.0,10.0,39.0,0.837,gfdl
1981.0,10.0,40.0,0.741,gfdl
1981.0,10.0,41.0,0.682,gfdl
1981.0,10.0,42.0,0.617,gfdl
1981.0,10.0,43.0,0.314,gfdl
1981.0,10.0,44.0,0.06,gfdl
1981.0,10.0,45.0,0.051,gfdl
1981.0,10.0,46.0,-0.02,gfdl
1981.0,10.0,47.0,-0.01,gfdl
1981.0,11.0,31.0,0.4,gfdl
1981.0,11.0,32.0,0.493,gfdl
1981.0,11.0,33.0,0.607,gfdl
1981.0,11.0,34.0,0.549,gfdl
1981.0,11.0,35.0,0.912,gfdl
1981.0,11.0,36.0,0.506,gfdl
1981.0,11.0,37.0,0.536,gfdl
1981.0,11.0,38.0,0.574,gfdl
1981.0,11.0,39.0,0.855,gfdl
1981.0,11.0,40.0,0.75,gfdl
1981.0,11.0,41.0,0.414,gfdl
1981.0,11.0,42.0,0.289,gfdl
1981.0,11.0,43.0,-0.109,gfdl
1981.0,11.0,44.0,-0.324,gfdl
1981.0,11.0,45.0,-0.198,gfdl
1981.0,11.0,46.0,-0.226,gfdl
1981.0,11.0,47.0,-0.134,gfdl
1981.0,12.0,31.0,0.173,gfdl
1981.0,12.0,32.0,0.133,gfdl
1981.0,12.0,33.0,0.164,gfdl
1981.0,12.0,34.0,0.184,gfdl
1981.0,12.0,35.0,0.665,gfdl
1981.0,12.0,36.0,0.245,gfdl
