Year,Month,UpwellWind_avg,UpwellWind_sd
2000,June,3.416980554490431,1.9374237569582313
2000,July,5.126233787351963,2.6593936648238383
2000,August,4.1374006343353456,2.20163564439472
2000,September,2.8820711705331297,1.5701882675322907
2000,October,2.5726189601568543,1.429900743913139
2000,November,2.684350830959109,1.680772511012982
2000,December,1.4201743745765758,1.2585680958588723
2001,January,0.7380767047086264,0.8618009643813361
2001,February,-0.06582489254971267,0.8116165267369609
2001,March,3.387062585658495,1.6549677291223563
2001,April,4.535171761612148,2.352862611841773
2001,May,3.718027330605954,2.057757295201255
2001,June,5.3087664166850335,2.6622679506577125
2001,July,4.307183683486567,2.5115528475147975
2001,August,4.575483870220096,2.379598531531891
2001,September,3.2402843385198294,1.7359828251251872
2001,October,2.506668317390096,1.3433991672877983
2001,November,0.4723389646186746,1.5134911290149164
2001,December,0.41632076529033774,1.3471443687630833
2002,January,2.228100298203642,1.4443197410422863
2002,February,1.3495015951380744,1.3615483983756969
2002,March,2.4717462771604723,1.4287610967545414
2002,April,3.4010373039309485,1.8095701257081265
2002,May,4.549267048534762,2.349010886510464
2002,June,5.60088447736968,2.811106940641661
2002,July,3.552069222721042,2.0052997117062112
2002,August,3.8669863806592293,2.1161514801428316
2002,September,3.24060515402532,1.6531457337886202
2002,October,3.1855206544270165,1.6016308637201602
2002,November,1.0514762661127226,1.073490317597076
2002,December,-1.4350048477569295,1.5244960682742166
2003,January,-0.15623826710905714,1.837098169724002
2003,February,2.5577946284298574,1.0756451314151765
2003,March,2.7986168361163077,2.19601746663319
2003,April,1.2141275499270083,1.8942232908831687
2003,May,5.2289250828372165,2.4968601695099535
2003,June,4.133825855510084,2.1834982427400735
2003,July,4.329271694914202,2.3298040127725814
2003,August,3.7981966741607747,2.0640512499118304
2003,September,3.2677867114744688,1.692968821740693
2003,October,3.780579601721621,1.7709504235478104
2003,November,0.6311040819326308,1.0338700642622234
2003,December,-0.7894760638380189,1.1584722561787486
2004,January,1.1928120168637946,1.5097899656135183
2004,February,0.2912158429251424,1.1529617020686331
2004,March,4.039737682023256,1.8732111203560071
2004,April,3.295785512582349,1.9091843142872538
2004,May,5.097440815373537,2.60390905155983
2004,June,5.24991883931992,2.7207792011716125
2004,July,3.8578799311868655,2.254753877856853
2004,August,3.337892408081337,1.8374298379811909
2004,September,4.489415065190195,2.210723648826424
2004,October,2.1542840270527206,1.2646043932583546
2004,November,2.4599092468419705,1.0077758892626512
2004,December,-0.0173611506441927,0.48438600479654653
2005,January,-0.32509992878139876,0.9373307563284198
2005,February,0.18892869416706506,0.3702545565723568
2005,March,1.7619510541181647,1.3826263494866011
2005,April,3.36164993637263,1.9800787504816213
2005,May,3.431567111971866,2.3002082495095473
2005,June,4.339210320350845,2.3281666987124434
2005,July,4.0281898583334685,2.172483305993668
2005,August,3.74707967032862,2.0943643162941075
2005,September,3.9815573303783762,2.0293581180318028
2005,October,3.174451494818768,1.6533289985917365
2005,November,1.938586894489256,1.0699099939065109
2005,December,-0.37664436606423807,1.3361065310273654
2006,January,0.8293316203906576,1.8092729396488771
2006,February,1.2193852333828967,0.9572812108659505
2006,March,0.1913705513254569,1.9230042456682312
2006,April,1.2930434397247217,1.1428308118506274
2006,May,3.536103607239799,1.911698938683299
2006,June,4.323565907816263,2.2303358603425933
2006,July,4.44991127882215,2.51705809700882
2006,August,3.956833359728124,2.1303352262289175
2006,September,3.8219507165665902,1.93165410648169
